rank,programme_name,institution,job_title,employer_sector,location,job_url,hybrid_score,semantic_score,top_skill_gaps
5,Artificial Intelligence Systems,Vilnius Gediminas Technical University,Programuotojas / AI (DI) inžinierius,,Vilnius,https://en.cvbankas.lt/programuotojas-ai-di-inzinierius-vilniuje/1-13706229,0.1753,0.5167,SQL; logic; business processes; solution deployment; tools for software configuration management
6,Artificial Intelligence Systems,Vilnius Gediminas Technical University,Python Developer,,Kaunas,https://en.cvbankas.lt/python-developer-kaune/1-13706605,0.1685,0.5103,childbirth; SQL; team building; web services; perform cleaning duties; life sciences; deploy cloud resource; grammar; unstructured data; ecosystems
7,Artificial Intelligence Systems,Vilnius Gediminas Technical University,Data Scientist / AI Engineer with verification,,"Vilnius, Vilniaus, Lithuania (On-site)",https://www.linkedin.com/jobs/view/4378189302/?eBP=CwEAAAGdXVTxFMm-4oPYFNosv8Vf7Vsb1WuHxZHn1TZFI315fEJU7OFidrXII-DqPZrfrJIgaGKhRs8AUBf_ux485rW8KssKzCz7NdMMYlAC2uyM2tM8bEddorYX5YWfyFVB07UL2mAYGVaoelQVkolalAXP676UGgk2qs-Uj0ulo27RsevBdAoszoIYkWZWvH9lK-mTMGrx_PWUz5IP1Kf4M5K4IF-gwxyWRi4qpnBnlqpdCHGGv3KYFUD7RhHM5z6L1S93nGWJ5Yv6vjcofk-i7GvULxBCddQPxocU_WDHAf27uZ4amKO1fWa02UPll5f9bdZFgRXCD6Wwyi5JXttGWLGsAcBfUVbG9LdLi_wBW1HZBB1FZ3cLfNL2RDoN4JE6lSnCqJjLvGVFqFz0PbByxh4lNdd-h_QXLLF6xcOyqr6Q-Z1iFoe_ULyugiqIXY4SKq8At-InYo9iOiOG3cy8p6e6ajE30HkjtIZePtMBst1REGSSsIdURDjW2R1-eqEBQfERWPL3iG09H_fKKQxEvn8enGI6WYxkhQCl1bWZ&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=6mOXpn4lFQrodgSou4vGSg%3D%3D&trk=flagship3_search_srp_jobs,0.1617,0.5937,SQL; NoSQL; PostgreSQL; ML (computer programming); unstructured data; cognitive computing; operating systems; negotiate with stakeholders; assume responsibility; demonstrate curiosity
8,Artificial Intelligence Systems,Vilnius Gediminas Technical University,AI Engineer (Applied AI) with verification,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4354609788/?eBP=CwEAAAGdXU_3Lpjva5gehuwkyxZOOeCMBLNABZouwvt95moQqldkZj82d9MFxAibHKwvHcRydrXa6rtBTFPsNBV4zX_5A9KyNJf_-ofgUfq-YZy77hlw36EosJqJdYRk9kmsGtqraQU9QmeTS5B89rNfVK9JUwgH9JOInDbgeM7epx921DQd72SXaWo1M0sb7HPrANFJ8FeiSgJOGh6xnkYWXMiBHEXNBJAecBgWS__K1NYvsYF60BZMbiTaH_Fm_SaXOiAcdqqFCab_EOtkdZzXKLDlT-W5wJSMXMeTqBv0slR8E8kDATovomB-czBgotIfWw9P9QX5o2s3qOh9QNMYse5ipOuzs1PSB2z1LQ3vhmi-GmGjkSX-MNTAPOgg2fRDV8aFmuACRRT6zWk8hRzE0XZd-FYmj-XKmqo9Veo0dJ62XkYlmgHz8aSHlLU9FV4-GypB9bSK156pWGRrTqxwjjyRrbfPWrduFwS0Rf7o30kJlFxUrKo8awCgQca5ifXdmZIc2QR8EekFCC7YSUkcjXohNje0D35mC3QLNQ&refId=wk4fVenEURubDB1Ehtm5HQ%3D%3D&trackingId=t02SStjRfp6kvPP77%2BKNiw%3D%3D&trk=flagship3_search_srp_jobs,0.151,0.5526,English; logic; dies; ML (computer programming); assume responsibility
9,Artificial Intelligence Systems,Vilnius Gediminas Technical University,Experienced AI Engineer/Data Scientist,,Vilnius,https://en.cvbankas.lt/experienced-ai-engineer-data-scientist-vilniuje/1-13500505,0.1337,0.5671,mathematics; personal development; physics; economics; team building; perform project management; develop predictive models; ML (computer programming); data science; lead others
10,Artificial Intelligence Systems,Vilnius Gediminas Technical University,DIRBTINIO INTELEKTO IR AUTOMATIZACIJŲ VADOVAS (-Ė),,Vilnius,https://en.cvbankas.lt/dirbtinio-intelekto-ir-automatizaciju-vadovas-e-vilniuje/1-13752609,0.1334,0.4854,business processes; think analytically; assume responsibility; demonstrate curiosity; work in teams; show entrepreneurial spirit; logic; improve business processes
1,Information Systems and Cyber Security,Vilnius University,IRT specialistas (-ė) (SOC ir IT saugos sritis) | Technologijų skyrius,,Vilnius,https://en.cvbankas.lt/irt-specialistas-e-soc-ir-it-saugos-sritis-technologiju-skyrius-vilniuje/1-13733709,0.3242,0.588,English; operating systems; digital identity management; digital data processing; negotiate compromises; manage time; advise others; computer programming; in-circuit test; cloud technologies
2,Information Systems and Cyber Security,Vilnius University,Informacijos saugos specialistas (-ė),,Vilnius,https://en.cvbankas.lt/informacijos-saugos-specialistas-e-vilniuje/1-13751575,0.2994,0.6447,English; communication; think analytically; security regulations; ICT security standards; manage time; computer programming; Python (computer programming); coordinate security; define security policies
3,Information Systems and Cyber Security,Vilnius University,SOC analitikas (-ė) kibernetinių grėsmių paieškai,,Vilnius,https://en.cvbankas.lt/soc-analitikas-e-kibernetiniu-gresmiu-paieskai-vilniuje/1-13395656,0.2982,0.6733,communication; English; computer programming; Python (computer programming); penetration testing tool; apply change management; digital data processing; security regulations; think analytically; ICT security standards
4,Information Systems and Cyber Security,Vilnius University,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),,Vilnius,https://en.cvbankas.lt/pazeidziamumu-valdymo-isilauzimu-testavimo-specialistas-e-vilniuje/1-13194248,0.2852,0.6458,penetration testing tool; communication; English; computer programming; think critically; Python (computer programming); apply change management; digital data processing; security regulations
5,Information Systems and Cyber Security,Vilnius University,Cyber Security Specialist,,Vilnius,https://en.cvbankas.lt/cyber-security-specialist-vilniuje/1-13680669,0.2435,0.6218,English; DevOps; web application security threats; economics; think analytically; implement ICT recovery system; cloud security and compliance; security regulations; in-circuit test; Python (computer programming)
6,Information Systems and Cyber Security,Vilnius University,KIBERNETINIO SAUGUMO VADOVAS (-Ė),,Kaunas,https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.2316,0.6927,apply change management; digital data processing; security regulations; computer programming; Python (computer programming); penetration testing tool
7,Information Systems and Cyber Security,Vilnius University,IT Vadovas (-ė),,Kaunas,https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.2055,0.5808,perform warehousing operations; apply change management; Russian; plan; business management principles; negotiate compromises; manage closed-circuit television system; work in teams; trademarks; SQL
8,Information Systems and Cyber Security,Vilnius University,IT skyriaus administratorius (-ė),,Klaipėda,https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.1734,0.5511,English; Russian; plan; business management principles; negotiate compromises; manage closed-circuit television system; work in teams; trademarks; perform warehousing operations; apply change management
9,Information Systems and Cyber Security,Vilnius University,SAUGUMO SPRENDIMŲ ARCHITEKTAS (-Ė),,Vilnius,https://en.cvbankas.lt/saugumo-sprendimu-architektas-e-vilniuje/1-13713875,0.1675,0.6607,English; think analytically; security regulations; manage time; assume responsibility; cloud security and compliance; digital identity management; lead a team; quality assurance procedures; apply strategic thinking
10,Information Systems and Cyber Security,Vilnius University,IT SISTEMŲ ADMINISTRATORIUS (-Ė),,Vilnius,https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13716003,0.1657,0.5715,MySQL; SQL; work independently; ICT encryption; think analytically; tools for software configuration management; network standards; patents; make decisions; perform procurement processes
1,Information Systems Engineering,Utena College,IT On-site inžinierius,,Vilnius,https://en.cvbankas.lt/it-on-site-inzinierius-vilniuje/1-13757479,0.2261,0.5643,personal development; troubleshoot; interact verbally in Lithuanian; assume responsibility; Android (mobile operating systems); environmental engineering; lead others; electronic communication; DevOps; business processes
2,Information Systems Engineering,Utena College,IT inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/it-inzinierius-e-vilniuje/1-13713495,0.2133,0.5518,computer programming; digital data processing
3,Information Systems Engineering,Utena College,IT sistemų administratorius (-ė),,Vilnius,https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13756627,0.1696,0.5614,digital data processing; assume responsibility; network standards; electrical equipment components; mechanical systems; manage time; SQL; data warehouse; data analytics; digitization
4,Information Systems Engineering,Utena College,Vyr. sistemų analitikas (-ė) (NTR modernizavimui),,Vilnius,https://en.cvbankas.lt/vyr-sistemu-analitikas-e-ntr-modernizavimui-vilniuje/1-13768673,0.1543,0.5759,provide technical documentation; work in teams; manage time; accounting; create solutions to problems; assume responsibility; demonstrate curiosity; develop strategy to solve problems; design thinking; algorithms
5,Information Systems Engineering,Utena College,IT sistemų testuotojas (-a),,Kaunas,https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13736493,0.1447,0.5635,SQL; logic; database; MySQL; business processes
6,Information Systems Engineering,Utena College,IT skyriaus administratorius (-ė),,Klaipėda,https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.1381,0.564,Russian; business management principles; apply information security policies; negotiate compromises; manage closed-circuit television system; work in teams; trademarks; cyber security; perform warehousing operations; apply change management
7,Information Systems Engineering,Utena College,IT inžinierius (-ė),,Kaunas,https://en.cvbankas.lt/it-inzinierius-e-kaune/1-13706767,0.1377,0.5767,Android (mobile operating systems); troubleshoot; personal development; interact verbally in Lithuanian; assume responsibility; accounting; maintain equipment; electrical equipment components; customer relationship management; Internet of Things
8,Information Systems Engineering,Utena College,Technologijų departamento direktorius (-ė),,Klaipėda,https://en.cvbankas.lt/technologiju-departamento-direktorius-e-klaipedoje/1-13740375,0.1334,0.6297,cyber security; quality standards; create solutions to problems; assume responsibility; Internet of Things; manufacturing processes; data protection; business management principles; patents; ICT project management methodologies
9,Information Systems Engineering,Utena College,Riedmenų IT sistemų inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/riedmenu-it-sistemu-inzinierius-e-vilniuje/1-13715991,0.1238,0.6066,maintenance operations; manage time; troubleshoot; organise training; make decisions; consultation; cyber security; business processes; work independently; transportation engineering
10,Information Systems Engineering,Utena College,IT Vadovas (-ė),,Kaunas,https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.1206,0.5854,cyber security; perform warehousing operations; apply change management; risk management; Russian; business management principles; apply information security policies; negotiate compromises; manage closed-circuit television system; work in teams
1,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),,Vilnius,https://en.cvbankas.lt/robotizacijos-ir-automatizavimo-vadovas-e-valymo-versle-vilniuje/1-13702413,0.5307,0.4972,English; demonstrate curiosity; industrial research and development
2,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,DevOps and Cloud Engineer,,"Kaunas, Kaunas, Lithuania",https://www.linkedin.com/jobs/view/4387402181/?eBP=CwEAAAGdXVJzL3zb3qq3YKLU8yyFMsWaz6tWTfyW8Y0sXjol4QoUgIWYqlZjYtXDEXj95Lu9P0cqs4f6VcAc3zcmQ2-F3CGjLw0JYaahXxzLZ8QDERouaF9lG-fSyd7OcsyzSo54TWmAAsUukcJNHQyzYZbB-t3mHVXpkIQWBNT2QgPkgrb-YQSzTOvbQ4OL0N_SCQ0DsKAH9HxbBbl0lfeeLNJIHMGGGPUvAnyLzy9YjBxTNgwJsZGK9ammlfywoZZERcvlOk5Vm8Ihc0I3wfOkNLv32v8TwyyVauA-ybqS2ZpxON1RX6qi8TtwaTyQCumOzA1sVvPEsfyQ5cI9rF6BKYmp0oaGmnb2DkW9V1EXWMrz17NT1_viTFITxvndmKvMEWNkiLdPNKD-eTVXoDSuyddSxkiVHH7_h1lN1Yh4oo8lpomCndN5Ig3E_ocuzo094krKWPnGKw47-SHGU3mpxJGvXE7q4j4kM1DllhPXhK_hWMCY3OZKjwViNl8VL8sd84n1Lz1AimmWhfTMyMJPoEllfj0e2tJDQuFmU8Kd&refId=9cGkUbOOhOKqDBgZIBV0VQ%3D%3D&trackingId=al3Ay%2F7mgk6FRgl5KDAqFA%3D%3D&trk=flagship3_search_srp_jobs,0.2047,0.5007,English; DevOps; ICT project management methodologies; troubleshoot; Jenkins (tools for software configuration management); Python (computer programming); implement ICT recovery system; computer technology; computer programming; Puppet (tools for software configuration management)
3,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,IT Technikas,,Ukmergė,https://en.cvbankas.lt/it-technikas-ukmergeje/1-11323919,0.1906,0.4899,English; accounting; perform warehousing operations; Assembly (computer programming); packaging engineering; computer technology; troubleshoot; maintain equipment; electronic locks; think analytically
4,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,Software Test Manager,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4396864190/?eBP=CwEAAAGdXVntZ7QsJYdUiu8Quf2GLuTTaOTbIIsW9fX6b22tbTV_bzCb37ZozkiX5KRayb4GUv1BQqTcF7_xxu1CYrOUTFAmTQpvL7WT0ezznSeyoo8tnS53k7PdamQpWdQE1UqDd7UvGyrO1-0tV8CO0vUXpvrzw61sQgCd5Hiue2Y5R-jNfHa-q8RJNHvUIL_k3YxcMjH_qkx18ch3tLAo8yOgjkGhc12AyiXwuae_8KXKt_xLmPlZdxJtcYohz3FYc3kq0nk8on8MGllXZaxDvi-BS_yRekVzrT83rzBbrsJ74A5-3oZop43Bv6dA_BI_mZrIOpqt0DBlzABSMeQ09ktdQGYEnLc0DhN4inH40tN8PywrJJhOooLoF1Mmoi7Do5ibMrpf3YfKlPOdQvgxDVErgdj_fZ5nydCszfqkhj5q3Bo97h_xdUrfPxP-bIcziNhX-reFZKVmE_9Xh5AnemC5pN9OswbRXPtpfZLXTkCiCj78YIoAA-66Vr54GB0t1Q04kYNIOnwq30xG7nUUr6F6J_Q&refId=6GiEAUVSkDxSu6caJTFUxQ%3D%3D&trackingId=xn00lydtjakgzkFEZO4imw%3D%3D&trk=flagship3_search_srp_jobs,0.189,0.473,English; plan; manage tests; ICT project management methodologies; manage time; mechanical systems; embedded systems; lead others; troubleshoot; C++
5,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,IT inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/it-inzinierius-e-vilniuje/1-13713495,0.1673,0.4766,English; plan; digital data processing; computer technology; computer programming
6,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,IT inžinierius (-ė),,Kaunas,https://en.cvbankas.lt/it-inzinierius-e-kaune/1-13753731,0.1626,0.4698,solve technical problems; troubleshoot; maintain equipment; computer technology; computer equipment; accounting; electrical equipment components; Lithuanian; manufacturing processes; plan
7,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,IT PRAKTIKANTAS (-Ė) — SISTEMŲ KONFIGŪRAVIMAS,,Kaunas,https://en.cvbankas.lt/it-praktikantas-e-sistemu-konfiguravimas-kaune/1-13763965,0.1622,0.4858,English; manage time; interact verbally in English; computer technology
8,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,Network Automation Engineer,,Kaunas,https://en.cvbankas.lt/network-automation-engineer-kaune/1-13756649,0.1371,0.4827,English; network engineering; computer science; troubleshoot; Python (computer programming); tools for software configuration management; electrical engineering; Spanish; Portuguese; ICT project management methodologies
9,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,IT inžinierius (-ė),,Kaunas,https://en.cvbankas.lt/it-inzinierius-e-kaune/1-13706767,0.1358,0.4937,English; Lithuanian; plan; troubleshoot; think analytically; computer technology; Android (mobile operating systems); personal development; interact verbally in Lithuanian; assume responsibility
10,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,Junior / Entry-Level IT Administrator,,Klaipėda,https://en.cvbankas.lt/junior-entry-level-it-administrator-klaipedoje/1-13753405,0.1345,0.5233,English; call routing; accounting; troubleshoot; manage time; Computer Assisted Language Learning; computer technology; solve technical problems; maintain equipment; electrical equipment components
1,Information System Engineering,Vilnius University,Data Scientist with verification,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4368092764/?eBP=CwEAAAGdXVdr8wLhXgCN16Gxrk7al7ZnW-_ooUcnN4gHaQRQXtuBKihjCZH3MQvUG_JrZ1XE9bHvZDVbNYmSYU_RRt1K09Xh65yh63dznYyEgbxfhfxFRMCpYd5EPi-HDeLGmrmRydjncICXjgBdC858bn29Xvag_2_KBis6HDgxN_XSHrVEBYWVYIiZRI3yWYMl7IfaPJpTbi2Cibl2jdCHt7hVz87RoCruHYYIJAPlE-PinlkUtF4ctqs9D0pH21jOKoPyumtpz940Hg4-WMcbsWJtORzzqpSyO6kejrtO095wUTmBDm-wLBJstBqIP3WB4e0U9lI9RHmGFmDTBxkROOyFSHN312Z7hfzVzwC7XDtwfJftJH7E9rrLLuSxgUZnV55jIKomT-2lfENJ5_qaA5Y6IzPDveiZgOhYZa--F_dwn-UGTsHe69HCue7opu3iJ0G2s5H3B0hnn3RdeO7kF3jI-lotLfHu0_MsMmCI8W-WR8fbVU5jobGY72DnEZaIjN7DQLc7WBXUigDJUTvA0WNYeAEAdNti&refId=47SaNTdiYW3wnMQlscUwOw%3D%3D&trackingId=xQeX88kPx97hzHFYbqTiRw%3D%3D&trk=flagship3_search_srp_jobs,0.2325,0.554,SQL; data science; physics; Python (computer programming); tools for software configuration management; operating systems; machine learning; ML (computer programming); JavaScript
2,Information System Engineering,Vilnius University,SAP DATA Services Developer with verification,,"Vilnius, Vilniaus, Lithuania (Remote)",https://www.linkedin.com/jobs/view/4390914503/?eBP=CwEAAAGdXVTxFcI6g9hH53N1HLbm8qUIlDCF29qdU73aSnKw2A9Sm0OKg4wH1WUAV60u3dhjnQkze7yyqC8OEFvq91eR0kmqJg2F9SZgBy-P0l_zmfETpFkq7EO-iFmTiW0lQC6yfMwoTMijJbMFzdQlKLaeJpq-M-k8CYM61f7srpH_zkGA7_ZRru4Kzhvn1PSdxJCJq5jSve_PRB9Beni0IliEe8GgTy8tBCz9opPwsSievwfmSWA0FCFyh_TXiVZRcgT4mjCCpPSi36AtP-2FA3uN6prNDU3tolKpvnY0vmtulhj6BUoWYmPeBB1H_jeY849GGS1D0CpyEzazZLt54NP9bRVV-gtaUWujPp9BGT73-wQGvj4NktTMBrr8XjZnRWa0NHHbGBnv9Thh98ifEFRjhVxb8ztaftEHHQfaBDX9nCYY0T_7brNhqeOe4R5wZXX1Pay8S4S7UwG0SJxjQTxoL12iGaa1GUEZC1PE-oL8kZJ4sHR4OmKC3avjeXcVrsqxpKnpmsdCamYtX3BNMR_EowrEaFmIY5Sr9w&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=sAoLzTehYU0i6vxN8a7ZUw%3D%3D&trk=flagship3_search_srp_jobs,0.189,0.5777,"data extraction, transformation and loading tools; communication; SQL; migration; robotics; data models; computer technology; SAP Data Services; Polish; work independently"
3,Information System Engineering,Vilnius University,Vyriausiasis (-oji) duomenų inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/vyriausiasis-oji-duomenu-inzinierius-e-vilniuje/1-13752215,0.1703,0.5424,"SQL; migration; data models; Python (computer programming); digital data processing; data extraction, transformation and loading tools; computer technology; data engineering; business intelligence; information architecture"
4,Information System Engineering,Vilnius University,Join our team as a JUNIOR System Analyst!,,Work from home,https://en.cvbankas.lt/join-our-team-as-a-junior-system-analyst-darbas-namuose/1-13699867,0.1305,0.5457,communication; design principles; meet deadlines; business processes; team building; improve business processes; report facts; apply information security policies; adopt ways to reduce pollution; schedule production
5,Information System Engineering,Vilnius University,IT PROJECT MANAGER/ IT PROJEKTŲ VADOVAS,,Vilnius,https://en.cvbankas.lt/it-project-manager-it-projektu-vadovas-vilniuje/1-12272436,0.127,0.5526,ICT project management methodologies; communication; give massages; improve business processes; lead others; computer technology; think analytically; cyber security; business processes; DevOps
6,Information System Engineering,Vilnius University,MID ERP SISTEMŲ (JAVA/KITA KALBA) PROGRAMUOTOJAS,,Kaunas,https://en.cvbankas.lt/mid-erp-sistemu-java-kita-kalba-programuotojas-kaune/1-13753589,0.1238,0.5399,PostgreSQL; SQL Server; Java (computer programming); customer relationship management; SQL; tools for software configuration management
7,Information System Engineering,Vilnius University,Duomenų inžinierius (-ė) – analitikas (-ė),,Kaunas,https://en.cvbankas.lt/duomenu-inzinierius-e-analitikas-e-kaune/1-13706283,0.1187,0.5349,"SQL; SQL Server; data extraction, transformation and loading tools; operating systems; data models; Python (computer programming); apply information security policies; digital data processing; assume responsibility; interact verbally in English"
8,Information System Engineering,Vilnius University,Riedmenų IT sistemų inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/riedmenu-it-sistemu-inzinierius-e-vilniuje/1-13715991,0.1181,0.539,communication; maintenance operations; computer technology; troubleshoot; organise training; consultation; economics; cyber security; business processes; work independently
9,Information System Engineering,Vilnius University,IT ANALITIKAS (-Ė),,Kaunas,https://en.cvbankas.lt/it-analitikas-e-kaune/1-13682887,0.118,0.5592,communication; design process; business processes; ICT project management methodologies; assume responsibility; work in teams; document evidence; computer technology; solve problems; think analytically
10,Information System Engineering,Vilnius University,DATA ENGINEER with verification,,Lithuania (Remote),https://www.linkedin.com/jobs/view/4328710459/?eBP=CwEAAAGdXVTxFfylTwn5FhVuExSS7O-QXtgOj66BYmJuT5ZfOGG6DXV-oxGHbbtbJgiMgw4aIbELH0z0XdfK0KxiiVLl5qoU_qaRDBIAtoH7rHeH63gx-MsOsG4jNF1YJz7qO6rHJrt4UXi6PklDI9PiknyDtc45vcS-SRwv9JsqlXcmnzIuMDQMAZrNjYRYwsaWOqxkSeTrgF0-7kSy0R4UUFQVnU3bJaoCFX8H53e-Ji-c6X1YoegRyKsZQIZxZKAQnimjF6Hc56yr8jj13jo8g8UvIdDQHACtd6sTRMgZa_9fZVUaMwmZhQdOgtsGMLC-j20oepaYXfUXBTIXvNuT28H8awvc3wmt3VIfqa9z3wDd79JuqGUPDdId2b1fsQhbsvdbGSj7aHxRfmqKSb1rQ92bDSswLi46M189lsUQyU11HAYoluucRLLjaIqqDrFG0k9FK8ou5gk5_VexVfZW_FIy7nRx_36ni7VgVlTD50VQWLiHl_p1yOOVyc6LzuEem6ITm887Tgmia67EAVVRRXvW5NAczFSpJp4tug&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=XMB19EEnT64C5KFJO5HxtA%3D%3D&trk=flagship3_search_srp_jobs,0.118,0.5409,"ICT project management methodologies; data extraction, transformation and loading tools; communication; troubleshoot; SQL; blueprints; automation technology; Python (computer programming); tools for software configuration management; data protection"
1,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,Pardavimų inžinierius (-ė) KLAIPĖDA,,Klaipėda,https://en.cvbankas.lt/pardavimu-inzinierius-e-klaipeda-klaipedoje/1-13737297,0.3064,0.5515,plan; manage time
2,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,IT sistemų ir skaitmenizacijos vadovas (-ė),,Panevėžys,https://en.cvbankas.lt/it-sistemu-ir-skaitmenizacijos-vadovas-e-panevezyje/1-13702931,0.1949,0.5583,digitization; perform warehousing operations; manage time; SAP Data Services; think analytically; assume responsibility; work in teams; Lithuanian; manufacturing processes; data protection
3,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,IT administratorius (-ė) (Vilniaus oro uostas),,Vilnius,https://en.cvbankas.lt/it-administratorius-e-vilniaus-oro-uostas-vilniuje/1-9300478,0.148,0.5458,plan; assume responsibility; electrical equipment components; solve problems; root cause analysis; computer programming; troubleshoot; implement ICT recovery system; accounting; maintain equipment
4,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,IT inžinierius (-ė),,Kaunas,https://en.cvbankas.lt/it-inzinierius-e-kaune/1-13753731,0.1327,0.5446,solve technical problems; troubleshoot; maintain equipment; accounting; electrical equipment components; Lithuanian; manufacturing processes; data protection; plan; business management principles
5,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,.NET Developer,,Kaunas,https://en.cvbankas.lt/net-developer-kaune/1-13546657,0.125,0.5438,style sheet languages; Lithuanian; ICT project management methodologies; SQL Server; environmental engineering; JavaScript; SQL; financial management
6,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,IT specialistas (-ė),,Klaipėda,https://en.cvbankas.lt/it-specialistas-e-klaipedoje/1-13478631,0.1229,0.5304,accounting; maintain equipment; electrical equipment components; Lithuanian; manufacturing processes; data protection; plan; business management principles; assume responsibility; solve technical problems
7,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,Jaunesnysis IT inžinierius,,Vilnius,https://en.cvbankas.lt/jaunesnysis-it-inzinierius-vilniuje/1-13409158,0.1189,0.5309,troubleshoot; maintain equipment; Lithuanian; Polish; asset management; delegate responsibilities; make independent operating decisions; accounting; perform warehousing operations; Assembly (computer programming)
8,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,Baltic IT Business Analyst,,Vilnius,https://en.cvbankas.lt/baltic-it-business-analyst-vilniuje/1-13702403,0.0881,0.575,business analysis; ecosystems; plan; show entrepreneurial spirit; think creatively; periodisation; SQL; ICT system integration; German; risk management
9,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,IT inžinierius,,Naujoji Akmenė,https://en.cvbankas.lt/it-inzinierius-naujojoje-akmeneje/1-13742959,0.0869,0.5813,accounting; troubleshoot; Android (mobile operating systems); office software; think analytically
10,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,IT specialistas (-ė) (kompiuterinių darbo vietų priežiūra),,Vilnius,https://en.cvbankas.lt/it-specialistas-e-kompiuteriniu-darbo-vietu-prieziura-vilniuje/1-13755395,0.0866,0.5851,troubleshoot; manage time; team building; manage closed-circuit television system; assume responsibility
1,Informatics Engineering,Kaunas University of Technology,AI Engineer (Applied AI) with verification,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4354609788/?eBP=CwEAAAGdXU_3Lpjva5gehuwkyxZOOeCMBLNABZouwvt95moQqldkZj82d9MFxAibHKwvHcRydrXa6rtBTFPsNBV4zX_5A9KyNJf_-ofgUfq-YZy77hlw36EosJqJdYRk9kmsGtqraQU9QmeTS5B89rNfVK9JUwgH9JOInDbgeM7epx921DQd72SXaWo1M0sb7HPrANFJ8FeiSgJOGh6xnkYWXMiBHEXNBJAecBgWS__K1NYvsYF60BZMbiTaH_Fm_SaXOiAcdqqFCab_EOtkdZzXKLDlT-W5wJSMXMeTqBv0slR8E8kDATovomB-czBgotIfWw9P9QX5o2s3qOh9QNMYse5ipOuzs1PSB2z1LQ3vhmi-GmGjkSX-MNTAPOgg2fRDV8aFmuACRRT6zWk8hRzE0XZd-FYmj-XKmqo9Veo0dJ62XkYlmgHz8aSHlLU9FV4-GypB9bSK156pWGRrTqxwjjyRrbfPWrduFwS0Rf7o30kJlFxUrKo8awCgQca5ifXdmZIc2QR8EekFCC7YSUkcjXohNje0D35mC3QLNQ&refId=wk4fVenEURubDB1Ehtm5HQ%3D%3D&trackingId=t02SStjRfp6kvPP77%2BKNiw%3D%3D&trk=flagship3_search_srp_jobs,0.1737,0.487,dies; Python (computer programming); assume responsibility
2,Informatics Engineering,Kaunas University of Technology,SOC analitikas (-ė) kibernetinių grėsmių paieškai,,Vilnius,https://en.cvbankas.lt/soc-analitikas-e-kibernetiniu-gresmiu-paieskai-vilniuje/1-13395656,0.1596,0.5156,Python (computer programming); computer programming; penetration testing tool; think critically; apply change management; digital data processing; security regulations; think analytically; ICT security standards; provide information
